1:  1 1 1 1
314:  4 6 6 2
315:  0 0 7 3 <
316:  1 1 8 4
317:  2 2 9 5
318:  3 3 10 6 <
319:  4 4 0 7
320:  0 5 1 8 <
321:  1 6 2 9
322:  2 0 3 10 <
323:  3 1 4 11
324:  4 2 5 12
325:  0 3 6 0 <
326:  1 4 7 1
327:  2 5 8 2
328:  3 6 9 3
329:  4 0 10 4
330:  0 1 0 5
331:  1 2 1 6
332:  2 3 2 7
333:  3 4 3 8 <
334:  4 5 4 9
335:  0 6 5 10
336:  1 0 6 11
337:  2 1 7 12
338:  3 2 8 0 <
339:  4 3 9 1
340:  0 4 10 2
341:  1 5 0 3
342:  2 6 1 4
343:  3 0 2 5
344:  4 1 3 6
345:  0 2 4 7 <
346:  1 3 5 8
347:  2 4 6 9 <
348:  3 5 7 10 <
349:  4 6 8 11
350:  0 0 9 12
351:  1 1 10 0
352:  2 2 0 1 <
353:  3 3 1 2
354:  4 4 2 3
355:  0 5 3 4 <
356:  1 6 4 5
357:  2 0 5 6 <
358:  3 1 6 7
359:  4 2 7 8
360:  0 3 8 9 <
361:  1 4 9 10
362:  2 5 10 11
363:  3 6 0 12
364:  4 0 1 0
365:  0 1 2 1
366:  1 2 3 2
367:  2 3 4 3 <
368:  3 4 5 4 <
369:  4 5 6 5
370:  0 6 7 6
371:  1 0 8 7
372:  2 1 9 8
373:  3 2 10 9 <
374:  4 3 0 10
375:  0 4 1 11
376:  1 5 2 12
377:  2 6 3 0
378:  3 0 4 1 <
379:  4 1 5 2
380:  0 2 6 3 <
381:  1 3 7 4
382:  2 4 8 5 <
383:  3 5 9 6
384:  4 6 10 7
385:  0 0 0 8 <
386:  1 1 1 9
387:  2 2 2 10
388:  3 3 3 11
389:  4 4 4 12
390:  0 5 5 0 <
391:  1 6 6 1
392:  2 0 7 2
393:  3 1 8 3
394:  4 2 9 4
395:  0 3 10 5 <
396:  1 4 0 6
397:  2 5 1 7 <
398:  3 6 2 8
399:  4 0 3 9
400:  0 1 4 10
401:  1 2 5 11
402:  2 3 6 12 <
403:  3 4 7 0 <
404:  4 5 8 1
405:  0 6 9 2
406:  1 0 10 3
407:  2 1 0 4
408:  3 2 1 5 <
409:  4 3 2 6
410:  0 4 3 7 <
411:  1 5 4 8
412:  2 6 5 9
413:  3 0 6 10 <
414:  4 1 7 11
415:  0 2 8 12 <
416:  1 3 9 0
417:  2 4 10 1 <
418:  3 5 0 2
419:  4 6 1 3
420:  0 0 2 4
421:  1 1 3 5
422:  2 2 4 6 <
423:  3 3 5 7 <
424:  4 4 6 8
425:  0 5 7 9 <
426:  1 6 8 10
427:  2 0 9 11
428:  3 1 10 12
429:  4 2 0 0
430:  0 3 1 1 <
431:  1 4 2 2
432:  2 5 3 3 <
433:  3 6 4 4
434:  4 0 5 5
435:  0 1 6 6
436:  1 2 7 7
437:  2 3 8 8 <
438:  3 4 9 9
439:  4 5 10 10
440:  0 6 0 11
441:  1 0 1 12
442:  2 1 2 0
443:  3 2 3 1 <
444:  4 3 4 2
445:  0 4 5 3 <
446:  1 5 6 4
447:  2 6 7 5
448:  3 0 8 6 <
449:  4 1 9 7
450:  0 2 10 8 <
451:  1 3 0 9
452:  2 4 1 10 <
453:  3 5 2 11
454:  4 6 3 12
455:  0 0 4 0 <
456:  1 1 5 1
457:  2 2 6 2
458:  3 3 7 3 <
459:  4 4 8 4
460:  0 5 9 5
461:  1 6 10 6
462:  2 0 0 7 <
463:  3 1 1 8
464:  4 2 2 9
465:  0 3 3 10 <
466:  1 4 4 11
467:  2 5 5 12 <
468:  3 6 6 0
469:  4 0 7 1
470:  0 1 8 2
471:  1 2 9 3
472:  2 3 10 4 <
473:  3 4 0 5 <
474:  4 5 1 6
475:  0 6 2 7
476:  1 0 3 8
477:  2 1 4 9
478:  3 2 5 10 <
479:  4 3 6 11
480:  0 4 7 12 <
481:  1 5 8 0
482:  2 6 9 1
483:  3 0 10 2
484:  4 1 0 3
485:  0 2 1 4 <
486:  1 3 2 5
487:  2 4 3 6 <
488:  3 5 4 7 <
489:  4 6 5 8
490:  0 0 6 9 <
491:  1 1 7 10
492:  2 2 8 11
493:  3 3 9 12
494:  4 4 10 0
495:  0 5 0 1 <
496:  1 6 1 2
497:  2 0 2 3
498:  3 1 3 4
499:  4 2 4 5
500:  0 3 5 6 <
501:  1 4 6 7
502:  2 5 7 8 <
503:  3 6 8 9
504:  4 0 9 10
505:  0 1 10 11
506:  1 2 0 12
507:  2 3 1 0 <
508:  3 4 2 1
509:  4 5 3 2
510:  0 6 4 3
511:  1 0 5 4
512:  2 1 6 5
513:  3 2 7 6 <
514:  4 3 8 7
515:  0 4 9 8
516:  1 5 10 9
517:  2 6 0 10
518:  3 0 1 11
519:  4 1 2 12
520:  0 2 3 0 <
521:  1 3 4 1
522:  2 4 5 2
523:  3 5 6 3 <
524:  4 6 7 4
525:  0 0 8 5 <
526:  1 1 9 6
527:  2 2 10 7 <
528:  3 3 0 8 <
529:  4 4 1 9
530:  0 5 2 10
531:  1 6 3 11
532:  2 0 4 12 <
533:  3 1 5 0
534:  4 2 6 1
535:  0 3 7 2
536:  1 4 8 3
537:  2 5 9 4
538:  3 6 10 5
539:  4 0 0 6
540:  0 1 1 7
541:  1 2 2 8
542:  2 3 3 9 <
543:  3 4 4 10 <
544:  4 5 5 11
545:  0 6 6 12
546:  1 0 7 0
547:  2 1 8 1
548:  3 2 9 2
549:  4 3 10 3
550:  0 4 0 4 <
551:  1 5 1 5
552:  2 6 2 6
553:  3 0 3 7 <
554:  4 1 4 8
555:  0 2 5 9 <
556:  1 3 6 10
557:  2 4 7 11
558:  3 5 8 12 <
559:  4 6 9 0
560:  0 0 10 1 <
561:  1 1 0 2
562:  2 2 1 3 <
563:  3 3 2 4
564:  4 4 3 5
565:  0 5 4 6 <
566:  1 6 5 7
567:  2 0 6 8 <
568:  3 1 7 9
569:  4 2 8 10
570:  0 3 9 11
571:  1 4 10 12
572:  2 5 0 0 <
573:  3 6 1 1
574:  4 0 2 2
575:  0 1 3 3
576:  1 2 4 4
577:  2 3 5 5 <
578:  3 4 6 6 <
579:  4 5 7 7
580:  0 6 8 8
581:  1 0 9 9
582:  2 1 10 10
583:  3 2 0 11
584:  4 3 1 12
585:  0 4 2 0
586:  1 5 3 1
587:  2 6 4 2
588:  3 0 5 3 <
589:  4 1 6 4
590:  0 2 7 5 <
591:  1 3 8 6
592:  2 4 9 7
593:  3 5 10 8 <
594:  4 6 0 9
595:  0 0 1 10 <
596:  1 1 2 11
597:  2 2 3 12 <
598:  3 3 4 0 <
599:  4 4 5 1
600:  0 5 6 2
601:  1 6 7 3
602:  2 0 8 4 <
603:  3 1 9 5
604:  4 2 10 6
605:  0 3 0 7 <
606:  1 4 1 8
607:  2 5 2 9
608:  3 6 3 10
609:  4 0 4 11
610:  0 1 5 12
611:  1 2 6 0
612:  2 3 7 1 <
613:  3 4 8 2
614:  4 5 9 3
615:  0 6 10 4
616:  1 0 0 5
617:  2 1 1 6
618:  3 2 2 7
619:  4 3 3 8
620:  0 4 4 9 <
621:  1 5 5 10
622:  2 6 6 11
623:  3 0 7 12 <
624:  4 1 8 0
625:  0 2 9 1
626:  1 3 10 2
627:  2 4 0 3 <
628:  3 5 1 4 <
629:  4 6 2 5
630:  0 0 3 6 <
631:  1 1 4 7
632:  2 2 5 8 <
633:  3 3 6 9 <
634:  4 4 7 10
635:  0 5 8 11
636:  1 6 9 12
637:  2 0 10 0 <
638:  3 1 0 1
639:  4 2 1 2
640:  0 3 2 3
641:  1 4 3 4
642:  2 5 4 5 <
643:  3 6 5 6
644:  4 0 6 7
645:  0 1 7 8
646:  1 2 8 9
647:  2 3 9 10
648:  3 4 10 11
649:  4 5 0 12
650:  0 6 1 0
651:  1 0 2 1
652:  2 1 3 2
653:  3 2 4 3 <
654:  4 3 5 4
655:  0 4 6 5 <
656:  1 5 7 6
657:  2 6 8 7
658:  3 0 9 8
659:  4 1 10 9
660:  0 2 0 10 <
661:  1 3 1 11
662:  2 4 2 12
663:  3 5 3 0 <
664:  4 6 4 1
665:  0 0 5 2
666:  1 1 6 3
667:  2 2 7 4 <
668:  3 3 8 5 <
669:  4 4 9 6
670:  0 5 10 7 <
671:  1 6 0 8
672:  2 0 1 9 <
673:  3 1 2 10
674:  4 2 3 11
675:  0 3 4 12 <
676:  1 4 5 0
677:  2 5 6 1 <
678:  3 6 7 2
679:  4 0 8 3
680:  0 1 9 4
681:  1 2 10 5
682:  2 3 0 6 <
683:  3 4 1 7 <
684:  4 5 2 8
685:  0 6 3 9
686:  1 0 4 10
687:  2 1 5 11
688:  3 2 6 12 <
689:  4 3 7 0
690:  0 4 8 1 <
691:  1 5 9 2
692:  2 6 10 3
693:  3 0 0 4 <
694:  4 1 1 5
695:  0 2 2 6
696:  1 3 3 7
697:  2 4 4 8 <
698:  3 5 5 9 <
699:  4 6 6 10
700:  0 0 7 11
701:  1 1 8 12
702:  2 2 9 0
703:  3 3 10 1 <
704:  4 4 0 2
705:  0 5 1 3 <
706:  1 6 2 4
707:  2 0 3 5 <
708:  3 1 4 6
709:  4 2 5 7
710:  0 3 6 8 <
711:  1 4 7 9
712:  2 5 8 10 <
713:  3 6 9 11
714:  4 0 10 12
715:  0 1 0 0
716:  1 2 1 1
717:  2 3 2 2
718:  3 4 3 3 <
719:  4 5 4 4
720:  0 6 5 5
721:  1 0 6 6
722:  2 1 7 7
723:  3 2 8 8 <
724:  4 3 9 9
725:  0 4 10 10 <
726:  1 5 0 11
727:  2 6 1 12
728:  3 0 2 0
729:  4 1 3 1
730:  0 2 4 2
731:  1 3 5 3
732:  2 4 6 4 <
733:  3 5 7 5 <
734:  4 6 8 6
735:  0 0 9 7
736:  1 1 10 8
737:  2 2 0 9 <
738:  3 3 1 10 <
739:  4 4 2 11
740:  0 5 3 12 <
741:  1 6 4 0
742:  2 0 5 1 <
743:  3 1 6 2
744:  4 2 7 3
745:  0 3 8 4 <
746:  1 4 9 5
747:  2 5 10 6 <
748:  3 6 0 7
749:  4 0 1 8
750:  0 1 2 9
751:  1 2 3 10
752:  2 3 4 11
753:  3 4 5 12 <
754:  4 5 6 0
755:  0 6 7 1
756:  1 0 8 2
757:  2 1 9 3
758:  3 2 10 4 <
759:  4 3 0 5
760:  0 4 1 6 <
761:  1 5 2 7
762:  2 6 3 8
763:  3 0 4 9 <
764:  4 1 5 10
765:  0 2 6 11
766:  1 3 7 12
767:  2 4 8 0 <
768:  3 5 9 1
769:  4 6 10 2
770:  0 0 0 3 <
771:  1 1 1 4
772:  2 2 2 5
773:  3 3 3 6 <
774:  4 4 4 7
775:  0 5 5 8 <
776:  1 6 6 9
777:  2 0 7 10 <
778:  3 1 8 11
779:  4 2 9 12
780:  0 3 10 0 <
781:  1 4 0 1
782:  2 5 1 2
783:  3 6 2 3
784:  4 0 3 4
785:  0 1 4 5
786:  1 2 5 6
787:  2 3 6 7 <
788:  3 4 7 8 <
789:  4 5 8 9
790:  0 6 9 10
791:  1 0 10 11
792:  2 1 0 12
793:  3 2 1 0 <
794:  4 3 2 1
795:  0 4 3 2
796:  1 5 4 3
797:  2 6 5 4
798:  3 0 6 5 <
799:  4 1 7 6
800:  0 2 8 7 <
801:  1 3 9 8
802:  2 4 10 9 <
803:  3 5 0 10 <
804:  4 6 1 11
805:  0 0 2 12
806:  1 1 3 0
807:  2 2 4 1 <
808:  3 3 5 2
809:  4 4 6 3
810:  0 5 7 4 <
811:  1 6 8 5
812:  2 0 9 6
813:  3 1 10 7
814:  4 2 0 8
815:  0 3 1 9 <
816:  1 4 2 10
817:  2 5 3 11
818:  3 6 4 12
819:  4 0 5 0
820:  0 1 6 1
821:  1 2 7 2
822:  2 3 8 3 <
823:  3 4 9 4
824:  4 5 10 5
825:  0 6 0 6
826:  1 0 1 7
827:  2 1 2 8
828:  3 2 3 9 <
829:  4 3 4 10
830:  0 4 5 11
831:  1 5 6 12
832:  2 6 7 0
833:  3 0 8 1 <
834:  4 1 9 2
835:  0 2 10 3 <
836:  1 3 0 4
837:  2 4 1 5 <
838:  3 5 2 6
839:  4 6 3 7
840:  0 0 4 8 <
841:  1 1 5 9
842:  2 2 6 10 <
843:  3 3 7 11
844:  4 4 8 12
845:  0 5 9 0
846:  1 6 10 1
847:  2 0 0 2
848:  3 1 1 3
849:  4 2 2 4
850:  0 3 3 5 <
851:  1 4 4 6
852:  2 5 5 7 <
853:  3 6 6 8
854:  4 0 7 9
855:  0 1 8 10
856:  1 2 9 11
857:  2 3 10 12 <
858:  3 4 0 0 <
859:  4 5 1 1
860:  0 6 2 2
861:  1 0 3 3
862:  2 1 4 4
863:  3 2 5 5 <
864:  4 3 6 6
865:  0 4 7 7 <
866:  1 5 8 8
867:  2 6 9 9
868:  3 0 10 10 <
869:  4 1 0 11
870:  0 2 1 12 <
871:  1 3 2 0
872:  2 4 3 1 <
873:  3 5 4 2
874:  4 6 5 3
875:  0 0 6 4 <
876:  1 1 7 5
877:  2 2 8 6 <
878:  3 3 9 7
879:  4 4 10 8
880:  0 5 0 9 <
881:  1 6 1 10
882:  2 0 2 11
883:  3 1 3 12
884:  4 2 4 0
885:  0 3 5 1 <
886:  1 4 6 2
887:  2 5 7 3 <
888:  3 6 8 4
889:  4 0 9 5
890:  0 1 10 6
891:  1 2 0 7
892:  2 3 1 8 <
893:  3 4 2 9
894:  4 5 3 10
895:  0 6 4 11
896:  1 0 5 12
897:  2 1 6 0
898:  3 2 7 1 <
899:  4 3 8 2
900:  0 4 9 3
901:  1 5 10 4
902:  2 6 0 5
903:  3 0 1 6 <
904:  4 1 2 7
905:  0 2 3 8 <
906:  1 3 4 9
907:  2 4 5 10 <
908:  3 5 6 11
909:  4 6 7 12
910:  0 0 8 0 <
911:  1 1 9 1
912:  2 2 10 2
913:  3 3 0 3 <
914:  4 4 1 4
915:  0 5 2 5
916:  1 6 3 6
917:  2 0 4 7 <
918:  3 1 5 8
919:  4 2 6 9
920:  0 3 7 10 <
921:  1 4 8 11
922:  2 5 9 12
923:  3 6 10 0
924:  4 0 0 1
925:  0 1 1 2
926:  1 2 2 3
927:  2 3 3 4 <
928:  3 4 4 5 <
929:  4 5 5 6
930:  0 6 6 7
931:  1 0 7 8
932:  2 1 8 9
933:  3 2 9 10
934:  4 3 10 11
935:  0 4 0 12 <
936:  1 5 1 0
937:  2 6 2 1
938:  3 0 3 2
939:  4 1 4 3
940:  0 2 5 4 <
941:  1 3 6 5
942:  2 4 7 6 <
943:  3 5 8 7 <
944:  4 6 9 8
945:  0 0 10 9 <
946:  1 1 0 10
947:  2 2 1 11
948:  3 3 2 12
949:  4 4 3 0
950:  0 5 4 1 <
951:  1 6 5 2
952:  2 0 6 3 <
953:  3 1 7 4
954:  4 2 8 5
955:  0 3 9 6
956:  1 4 10 7
957:  2 5 0 8 <
958:  3 6 1 9
959:  4 0 2 10
960:  0 1 3 11
961:  1 2 4 12
962:  2 3 5 0 <
963:  3 4 6 1 <
964:  4 5 7 2
965:  0 6 8 3
966:  1 0 9 4
967:  2 1 10 5
968:  3 2 0 6 <
969:  4 3 1 7
970:  0 4 2 8
971:  1 5 3 9
972:  2 6 4 10
973:  3 0 5 11
974:  4 1 6 12
975:  0 2 7 0 <
976:  1 3 8 1
977:  2 4 9 2
978:  3 5 10 3 <
979:  4 6 0 4
980:  0 0 1 5 <
981:  1 1 2 6
982:  2 2 3 7 <
983:  3 3 4 8 <
984:  4 4 5 9
985:  0 5 6 10 <
986:  1 6 7 11
987:  2 0 8 12 <
988:  3 1 9 0
989:  4 2 10 1
990:  0 3 0 2
991:  1 4 1 3
992:  2 5 2 4
993:  3 6 3 5
994:  4 0 4 6
995:  0 1 5 7
996:  1 2 6 8
997:  2 3 7 9 <
998:  3 4 8 10 <
999:  4 5 9 11
1000:  0 6 10 12
1001:  1 0 0 0
1002:  2 1 1 1
1003:  3 2 2 2
1004:  4 3 3 3
1005:  0 4 4 4 <
1006:  1 5 5 5
1007:  2 6 6 6
1008:  3 0 7 7 <
1009:  4 1 8 8
1010:  0 2 9 9
1011:  1 3 10 10
1012:  2 4 0 11
1013:  3 5 1 12 <
1014:  4 6 2 0
1015:  0 0 3 1 <
1016:  1 1 4 2
1017:  2 2 5 3 <
1018:  3 3 6 4 <
1019:  4 4 7 5
1020:  0 5 8 6 <
1021:  1 6 9 7
1022:  2 0 10 8 <
1023:  3 1 0 9
1024:  4 2 1 10
1025:  0 3 2 11
1026:  1 4 3 12
1027:  2 5 4 0 <
1028:  3 6 5 1
1029:  4 0 6 2
1030:  0 1 7 3
1031:  1 2 8 4
1032:  2 3 9 5
1033:  3 4 10 6 <
1034:  4 5 0 7
1035:  0 6 1 8
1036:  1 0 2 9
1037:  2 1 3 10
1038:  3 2 4 11
1039:  4 3 5 12
1040:  0 4 6 0 <
1041:  1 5 7 1
1042:  2 6 8 2
1043:  3 0 9 3
1044:  4 1 10 4
1045:  0 2 0 5 <
1046:  1 3 1 6
1047:  2 4 2 7
1048:  3 5 3 8 <
1049:  4 6 4 9
1050:  0 0 5 10 <
1051:  1 1 6 11
1052:  2 2 7 12 <
1053:  3 3 8 0 <
1054:  4 4 9 1
1055:  0 5 10 2
1056:  1 6 0 3
1057:  2 0 1 4 <
1058:  3 1 2 5
1059:  4 2 3 6
1060:  0 3 4 7 <
1061:  1 4 5 8
1062:  2 5 6 9 <
1063:  3 6 7 10
1064:  4 0 8 11
1065:  0 1 9 12
1066:  1 2 10 0
1067:  2 3 0 1 <
1068:  3 4 1 2
1069:  4 5 2 3
1070:  0 6 3 4
1071:  1 0 4 5
1072:  2 1 5 6
1073:  3 2 6 7 <
1074:  4 3 7 8
1075:  0 4 8 9 <
1076:  1 5 9 10
1077:  2 6 10 11
1078:  3 0 0 12 <
1079:  4 1 1 0
1080:  0 2 2 1
1081:  1 3 3 2
1082:  2 4 4 3 <
1083:  3 5 5 4 <
1084:  4 6 6 5
1085:  0 0 7 6 <
1086:  1 1 8 7
1087:  2 2 9 8
1088:  3 3 10 9 <
1089:  4 4 0 10
1090:  0 5 1 11
1091:  1 6 2 12
1092:  2 0 3 0 <
1093:  3 1 4 1
1094:  4 2 5 2
1095:  0 3 6 3 <
1096:  1 4 7 4
1097:  2 5 8 5 <
1098:  3 6 9 6
1099:  4 0 10 7
1100:  0 1 0 8
1101:  1 2 1 9
1102:  2 3 2 10
1103:  3 4 3 11
1104:  4 5 4 12
1105:  0 6 5 0
1106:  1 0 6 1
1107:  2 1 7 2
1108:  3 2 8 3 <
1109:  4 3 9 4
1110:  0 4 10 5 <
1111:  1 5 0 6
1112:  2 6 1 7
1113:  3 0 2 8
1114:  4 1 3 9
1115:  0 2 4 10 <
1116:  1 3 5 11
1117:  2 4 6 12 <
1118:  3 5 7 0 <
1119:  4 6 8 1
1120:  0 0 9 2
1121:  1 1 10 3
1122:  2 2 0 4 <
1123:  3 3 1 5 <
1124:  4 4 2 6
1125:  0 5 3 7 <
1126:  1 6 4 8
1127:  2 0 5 9 <
1128:  3 1 6 10
1129:  4 2 7 11
1130:  0 3 8 12 <
1131:  1 4 9 0
1132:  2 5 10 1 <
1133:  3 6 0 2
1134:  4 0 1 3
1135:  0 1 2 4
1136:  1 2 3 5
1137:  2 3 4 6 <
1138:  3 4 5 7 <
1139:  4 5 6 8
1140:  0 6 7 9
1141:  1 0 8 10
1142:  2 1 9 11
1143:  3 2 10 12 <
1144:  4 3 0 0
1145:  0 4 1 1 <
1146:  1 5 2 2
1147:  2 6 3 3
1148:  3 0 4 4 <
1149:  4 1 5 5
1150:  0 2 6 6 <
1151:  1 3 7 7
1152:  2 4 8 8 <
1153:  3 5 9 9
1154:  4 6 10 10
1155:  0 0 0 11
1156:  1 1 1 12
1157:  2 2 2 0
1158:  3 3 3 1 <
1159:  4 4 4 2
1160:  0 5 5 3 <
1161:  1 6 6 4
1162:  2 0 7 5 <
1163:  3 1 8 6
1164:  4 2 9 7
1165:  0 3 10 8 <
1166:  1 4 0 9
1167:  2 5 1 10 <
1168:  3 6 2 11
1169:  4 0 3 12
1170:  0 1 4 0
1171:  1 2 5 1
1172:  2 3 6 2
1173:  3 4 7 3 <
1174:  4 5 8 4
1175:  0 6 9 5
1176:  1 0 10 6
1177:  2 1 0 7
1178:  3 2 1 8 <
1179:  4 3 2 9
1180:  0 4 3 10 <
1181:  1 5 4 11
1182:  2 6 5 12
1183:  3 0 6 0 <
1184:  4 1 7 1
1185:  0 2 8 2
1186:  1 3 9 3
1187:  2 4 10 4 <
1188:  3 5 0 5 <
1189:  4 6 1 6
1190:  0 0 2 7
